Dimensionless time,Outlet dimensionless concentration 1,Outlet dimensionless concentration 2
215.775,0.1427372161692362,0.85
215.8,0.14276393628588058,0.85
215.82500000000002,0.1427905653754683,0.85
215.85000000000002,0.1428171037018072,0.85
215.875,0.1428435515282515,0.85
215.9,0.1428699091177005,0.85
215.925,0.14289617673259694,0.85
215.95000000000002,0.1429223546349256,0.85
215.97500000000002,0.1429484430862119,0.85
216.0,0.14297444234752035,0.85
216.025,0.14300035267945327,0.85
216.05,0.14302617434214934,0.85
216.07500000000002,0.14305190759528227,0.85
216.10000000000002,0.14307755269805947,0.85
216.125,0.14310310990922068,0.85
216.15,0.14312857948703675,0.85
216.175,0.14315396168930825,0.85
216.20000000000002,0.14317925677336432,0.85
216.22500000000002,0.14320446499606138,0.85
216.25,0.14322958661378188,0.85
216.275,0.14325462188243313,0.85
216.3,0.14327957105744615,0.85
216.32500000000002,0.14330443439377447,0.85
216.35000000000002,0.14332921214589295,0.85
216.375,0.14335390456779673,0.85
216.4,0.1433785119130001,0.85
216.425,0.14340303443453542,0.85
216.45000000000002,0.14342747238495196,0.85
216.47500000000002,0.143451826016315,0.85
216.5,0.14347609558020474,0.85
216.525,0.1435002813277152,0.85
216.55,0.14352438350945335,0.85
216.57500000000002,0.1435484023755381,0.85
216.60000000000002,0.14357233817559925,0.85
216.625,0.14359619115877675,0.85
216.65,0.14361996157371953,0.85
216.675,0.1436436496685848,0.85
216.70000000000002,0.14366725569103708,0.85
216.72500000000002,0.14369077988824727,0.85
216.75,0.14371422250689195,0.85
216.775,0.14373758379315235,0.85
216.8,0.14376086399271373,0.85
216.82500000000002,0.14378406335076446,0.85
216.85000000000002,0.14380718211199525,0.85
216.875,0.1438302205205984,0.85
216.9,0.14385317882026707,0.85
216.925,0.1438760572541945,0.85
216.95000000000002,0.1438988560650733,0.85
216.97500000000002,0.1439215754950948,0.85
217.0,0.1439442157859483,0.85
217.025,0.14396677717882045,0.85
217.05,0.14398925991439457,0.85
217.07500000000002,0.14401166423285,0.85
217.10000000000002,0.14403399037386153,0.85
217.125,0.14405623857659874,0.85
217.15,0.1440784090797255,0.85
217.175,0.14410050212139922,0.85
217.20000000000002,0.1441225179392705,0.85
